competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Carabao Cup,585,135,1920,Barnet,1,1,Oldham Athletic,20250805,2000
Carabao Cup,585,112764,1924,Bromley Football Club,2,0,Chesterfield,20250806,2000
Carabao Cup,585,97,1962,Millwall,1,3,Bristol Rovers,20250812,2000
Carabao Cup,585,1804,1931,Bradford City,1,2,Stockport County,20250812,1945
Carabao Cup,585,95,1923,Leicester City,1,1,Luton Town,20250812,1945
Carabao Cup,585,109,88,West Bromwich Albion,1,1,Birmingham City,20250812,1945
Carabao Cup,585,1803,1961,Walsall,1,0,Cardiff City,20250813,2000
Carabao Cup,585,149,1794,Lincoln City,1,2,Sheffield United,20250812,1945
Carabao Cup,585,1933,361,Wycombe Wanderers,0,1,Stevenage,20250812,1945
Carabao Cup,585,112222,17,Harrogate Town,0,2,Southampton,20250813,1945
Carabao Cup,585,1944,3,Cambridge United,1,1,Blackburn Rovers,20250812,1945
Carabao Cup,585,121,1807,Crewe Alexandra,2,2,Sheffield Wednesday,20250812,1945
Carabao Cup,585,1806,143,Stoke City,2,1,Exeter City,20250813,1945
Carabao Cup,585,1795,1951,Watford,0,1,Oxford United,20250812,1945
Carabao Cup,585,112260,89,Fleetwood Town,1,2,Charlton Athletic,20250812,1945
Carabao Cup,585,15,1930,Queens Park Rangers,0,1,Northampton Town,20250812,1945
Carabao Cup,585,15048,4,Tranmere Rovers,1,1,Bolton Wanderers,20250812,1945
Carabao Cup,585,1798,1932,Milton Keynes Dons,1,0,Barnsley,20250813,2000
Carabao Cup,585,1958,1926,Leyton Orient,2,1,Blackpool,20250812,1945
Carabao Cup,585,1938,1935,Peterborough United,2,1,Colchester United,20250812,1945
Carabao Cup,585,381,127,Barrow,0,1,Shrewsbury,20250813,1945
Carabao Cup,585,112764,1793,Bromley Football Club,0,3,Reading,20250812,1945
Carabao Cup,585,1797,112259,Rotherham United,1,2,AFC Wimbledon,20250812,2000
Carabao Cup,585,1802,92,Gillingham,2,1,Grimsby Town,20250812,1945
Carabao Cup,585,91,1937,Derby County,1,1,Notts County,20250813,1945
Carabao Cup,585,15015,1934,Burton Albion,2,0,Swindon Town,20250812,1945
Carabao Cup,585,1952,110313,Hull City,3,0,Accrington Stanley,20250812,1945
Carabao Cup,585,1919,1929,Bristol City,2,1,Plymouth Argyle,20250812,1945
Carabao Cup,585,1917,94,Wigan Athletic,2,3,Ipswich Town,20250812,1945
