competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Copa del Rey,1290,1867,1861,Córdoba CF,TBD,TBD,UD Almería,20251202,1930
Copa del Rey,1290,110839,467,SD Huesca,TBD,TBD,SD Eibar,20251202,1930
Copa del Rey,1290,15012,244,Cultural Leonesa,TBD,TBD,Real Zaragoza,20251203,1830
Copa del Rey,1290,114554,1968,FC Andorra,TBD,TBD,Cádiz CF,20251203,1830
Copa del Rey,1290,110711,459,Real Sociedad B,TBD,TBD,Real Sporting,20251202,1930
Copa del Rey,1290,10846,242,Burgos CF,TBD,TBD,RC Deportivo,20251202,1930
Copa del Rey,1290,110069,1854,CD Mirandés,TBD,TBD,Albacete Balompié,20251202,2130
Copa del Rey,1290,1894,456,AD Ceuta FC,TBD,TBD,Real Racing Club,20251203,2030
Copa del Rey,1290,100888,472,CD Leganés,TBD,TBD,UD Las Palmas,20251202,2130
Copa del Rey,1290,100852,110832,CD Castellón,TBD,TBD,Granada CF,20251202,1930
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251216,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20251217,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260114,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260114,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260113,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260113,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260113,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260114,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260114,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260114,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260204,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260205,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260205,2100
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260204,1900
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260210,2000
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260304,2000
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260211,2000
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260303,2000
Copa del Rey,1290,-1,-1, ,TBD,TBD, ,20260425,2000
