competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Coupe de France,819,111273,58,Red Star FC,TBD,TBD,SC Bastia,20251130,1400
Coupe de France,819,379,1823,Stade de Reims,TBD,TBD,AS Nancy Lorraine,20251130,1415
Coupe de France,819,1816,132680,Amiens SC,TBD,TBD,US Boulogne CO,20251130,1415
Coupe de France,819,1815,294,Clermont Foot 63,TBD,TBD,ESTAC Troyes,20251130,1645
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1730
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1730
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1600
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1830
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1900
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1830
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1730
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1730
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260110,1830
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260111,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260204,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260203,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260204,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260204,1830
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260203,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260203,1830
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260204,1600
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260203,1715
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260211,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260210,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260211,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260210,1800
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260303,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260304,2000
Coupe de France,819,-1,-1, ,TBD,TBD, ,20260523,2000
