competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Croky Cup,404,674,1750,KAA Gent,TBD,TBD,Cercle Brugge KSV,20251203,2000
Croky Cup,404,15005,132231,SV Zulte Waregem,TBD,TBD,RAAL La Louvière,20251203,2000
Croky Cup,404,673,231,KRC Genk,TBD,TBD,Club Brugge,20251203,2030
Croky Cup,404,670,229,Sporting Charleroi,TBD,TBD,RSC Anderlecht,20251203,2045
Croky Cup,404,110724,680,KV Mechelen,TBD,TBD,Sint-Truidense VV,20251203,2030
Croky Cup,404,232,2014,Standard de Liège,TBD,TBD,Royale Union Saint-Gilloise,20251202,2000
Croky Cup,404,100087,537,Oud-Heverlee Leuven,TBD,TBD,FCV Dender EH,20251202,2000
Croky Cup,404,230,681,Royal Antwerp FC,TBD,TBD,KVC Westerlo,20251203,2000
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260110,2030
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260111,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260110,2030
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260109,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260114,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260113,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260204,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260205,2045
Croky Cup,404,-1,-1, ,TBD,TBD, ,20260531,1830
