competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
EFL Championship,779,88,94,Birmingham City,1,1,Ipswich Town,20250808,2000
EFL Championship,779,89,1795,Charlton Athletic,2,2,Watford,20250809,1230
EFL Championship,779,17,1947,Southampton,1,1,Wrexham,20250809,1230
EFL Championship,779,1800,1952,Coventry City,0,1,Hull City,20250809,1230
EFL Championship,779,12,1960,Middlesbrough,2,1,Swansea City,20250809,1500
EFL Championship,779,1951,1790,Oxford United,2,2,Portsmouth,20250809,1500
EFL Championship,779,1806,91,Stoke City,1,0,Derby County,20250809,1500
EFL Championship,779,1792,97,Norwich City,1,1,Millwall,20250809,1500
EFL Championship,779,15,1801,Queens Park Rangers,3,0,Preston North End,20250809,1500
EFL Championship,779,109,3,West Bromwich Albion,4,0,Blackburn Rovers,20250809,1500
EFL Championship,779,1794,1919,Sheffield United,3,1,Bristol City,20250809,1730
EFL Championship,779,95,1807,Leicester City,2,2,Sheffield Wednesday,20250809,1230
EFL Championship,779,1790,1792,Portsmouth,1,1,Norwich City,20250816,1230
EFL Championship,779,1947,109,Wrexham,1,3,West Bromwich Albion,20250816,1230
EFL Championship,779,91,1800,Derby County,1,4,Coventry City,20250816,1230
EFL Championship,779,3,88,Blackburn Rovers,1,2,Birmingham City,20250816,1500
EFL Championship,779,97,12,Millwall,2,1,Middlesbrough,20250816,1500
EFL Championship,779,1801,95,Preston North End,1,3,Leicester City,20250816,1500
EFL Championship,779,1919,89,Bristol City,0,0,Charlton Athletic,20250816,1500
EFL Championship,779,1807,1806,Sheffield Wednesday,1,1,Stoke City,20250816,1500
EFL Championship,779,1960,1794,Swansea City,0,1,Sheffield United,20250816,1500
EFL Championship,779,1795,15,Watford,0,2,Queens Park Rangers,20250816,1500
EFL Championship,779,94,17,Ipswich Town,1,3,Southampton,20250817,1200
EFL Championship,779,1952,1951,Hull City,2,2,Oxford United,20250817,1500
EFL Championship,779,91,1919,Derby County,1,1,Bristol City,20250822,2000
EFL Championship,779,1952,3,Hull City,2,1,Blackburn Rovers,20250823,1230
EFL Championship,779,1960,1795,Swansea City,1,1,Watford,20250823,1230
EFL Championship,779,89,95,Charlton Athletic,3,1,Leicester City,20250823,1230
EFL Championship,779,109,1790,West Bromwich Albion,2,3,Portsmouth,20250823,1500
EFL Championship,779,17,1806,Southampton,0,1,Stoke City,20250823,1500
EFL Championship,779,1947,1807,Wrexham,2,1,Sheffield Wednesday,20250823,1500
EFL Championship,779,1792,12,Norwich City,1,0,Middlesbrough,20250823,1500
EFL Championship,779,1801,94,Preston North End,1,3,Ipswich Town,20250823,1500
EFL Championship,779,88,1951,Birmingham City,2,1,Oxford United,20250823,1500
EFL Championship,779,1800,15,Coventry City,1,3,Queens Park Rangers,20250823,1500
EFL Championship,779,1794,97,Sheffield United,2,2,Millwall,20250823,1500
EFL Championship,779,95,88,Leicester City,4,1,Birmingham City,20250829,2000
EFL Championship,779,15,89,Queens Park Rangers,1,1,Charlton Athletic,20250830,1230
EFL Championship,779,12,1794,Middlesbrough,0,0,Sheffield United,20250830,1230
EFL Championship,779,1806,109,Stoke City,1,0,West Bromwich Albion,20250830,1230
EFL Championship,779,94,91,Ipswich Town,3,1,Derby County,20250830,1500
EFL Championship,779,3,1792,Blackburn Rovers,3,3,Norwich City,20250830,1500
EFL Championship,779,1807,1960,Sheffield Wednesday,0,2,Swansea City,20250830,1500
EFL Championship,779,1790,1801,Portsmouth,1,2,Preston North End,20250830,1500
EFL Championship,779,1919,1952,Bristol City,3,1,Hull City,20250830,1500
EFL Championship,779,1795,17,Watford,0,2,Southampton,20250830,1500
EFL Championship,779,97,1947,Millwall,1,1,Wrexham,20250830,1500
EFL Championship,779,1951,1800,Oxford United,2,3,Coventry City,20250830,1500
EFL Championship,779,94,1794,Ipswich Town,1,2,Sheffield United,20250912,2000
EFL Championship,779,1801,12,Preston North End,1,2,Middlesbrough,20250913,1230
EFL Championship,779,1951,95,Oxford United,1,2,Leicester City,20250913,1230
EFL Championship,779,89,97,Charlton Athletic,2,2,Millwall,20250913,1230
EFL Championship,779,1960,1952,Swansea City,0,2,Hull City,20250913,1500
EFL Championship,779,1807,1919,Sheffield Wednesday,2,3,Bristol City,20250913,1500
EFL Championship,779,1800,1792,Coventry City,1,1,Norwich City,20250913,1500
EFL Championship,779,1806,88,Stoke City,2,0,Birmingham City,20250913,1500
EFL Championship,779,1795,3,Watford,1,2,Blackburn Rovers,20250913,1500
EFL Championship,779,109,91,West Bromwich Albion,0,2,Derby County,20250913,1500
EFL Championship,779,1947,15,Wrexham,1,3,Queens Park Rangers,20250913,1500
EFL Championship,779,17,1790,Southampton,2,1,Portsmouth,20250914,1200
EFL Championship,779,12,109,Middlesbrough,0,2,West Bromwich Albion,20250919,2000
EFL Championship,779,95,1800,Leicester City,1,3,Coventry City,20250920,1230
EFL Championship,779,88,1960,Birmingham City,1,0,Swansea City,20250920,1230
EFL Championship,779,15,1806,Queens Park Rangers,1,2,Stoke City,20250920,1230
EFL Championship,779,1952,17,Hull City,2,2,Southampton,20250920,1500
EFL Championship,779,1794,89,Sheffield United,1,2,Charlton Athletic,20250920,1500
EFL Championship,779,91,1801,Derby County,2,1,Preston North End,20250920,1500
EFL Championship,779,1790,1807,Portsmouth,2,2,Sheffield Wednesday,20250920,1500
EFL Championship,779,1792,1947,Norwich City,0,0,Wrexham,20250920,1500
EFL Championship,779,3,94,Blackburn Rovers,1,1,Ipswich Town,20250920,1500
EFL Championship,779,1919,1951,Bristol City,2,0,Oxford United,20250921,1500
EFL Championship,779,97,1795,Millwall,2,1,Watford,20250922,2000
EFL Championship,779,109,95,West Bromwich Albion,0,2,Leicester City,20250926,2000
EFL Championship,779,1960,97,Swansea City,1,1,Millwall,20250927,1230
EFL Championship,779,1800,88,Coventry City,1,2,Birmingham City,20250927,1230
EFL Championship,779,1947,91,Wrexham,1,1,Derby County,20250927,1230
EFL Championship,779,94,1790,Ipswich Town,3,1,Portsmouth,20250927,1500
EFL Championship,779,1801,1919,Preston North End,1,1,Bristol City,20250927,1500
EFL Championship,779,1806,1792,Stoke City,3,0,Norwich City,20250927,1500
EFL Championship,779,17,12,Southampton,1,1,Middlesbrough,20250927,1500
EFL Championship,779,1807,15,Sheffield Wednesday,2,1,Queens Park Rangers,20250927,1500
EFL Championship,779,89,3,Charlton Athletic,1,1,Blackburn Rovers,20250927,1500
EFL Championship,779,1951,1794,Oxford United,0,2,Sheffield United,20250927,1500
EFL Championship,779,1795,1952,Watford,2,0,Hull City,20250927,1500
EFL Championship,779,1919,94,Bristol City,TBD,TBD,Ipswich Town,20250930,1945
EFL Championship,779,88,1807,Birmingham City,TBD,TBD,Sheffield Wednesday,20250930,1945
EFL Championship,779,3,1960,Blackburn Rovers,TBD,TBD,Swansea City,20250930,1945
EFL Championship,779,12,1806,Middlesbrough,TBD,TBD,Stoke City,20250930,1945
EFL Championship,779,1952,1801,Hull City,TBD,TBD,Preston North End,20250930,1945
EFL Championship,779,1794,17,Sheffield United,TBD,TBD,Southampton,20250930,1945
EFL Championship,779,91,89,Derby County,TBD,TBD,Charlton Athletic,20250930,1945
EFL Championship,779,95,1947,Leicester City,TBD,TBD,Wrexham,20250930,1945
EFL Championship,779,97,1800,Millwall,TBD,TBD,Coventry City,20251001,1945
EFL Championship,779,1792,109,Norwich City,TBD,TBD,West Bromwich Albion,20251001,1945
EFL Championship,779,1790,1795,Portsmouth,TBD,TBD,Watford,20251001,1945
EFL Championship,779,15,1951,Queens Park Rangers,TBD,TBD,Oxford United,20251001,1945
EFL Championship,779,1790,12,Portsmouth,TBD,TBD,Middlesbrough,20251004,1500
EFL Championship,779,1947,88,Wrexham,TBD,TBD,Birmingham City,20251004,1500
EFL Championship,779,97,109,Millwall,TBD,TBD,West Bromwich Albion,20251004,1500
EFL Championship,779,1807,1800,Sheffield Wednesday,TBD,TBD,Coventry City,20251004,1500
EFL Championship,779,1795,1951,Watford,TBD,TBD,Oxford United,20251004,1500
EFL Championship,779,3,1806,Blackburn Rovers,TBD,TBD,Stoke City,20251004,1500
EFL Championship,779,1919,15,Bristol City,TBD,TBD,Queens Park Rangers,20251004,1500
EFL Championship,779,1801,89,Preston North End,TBD,TBD,Charlton Athletic,20251004,1500
EFL Championship,779,1960,95,Swansea City,TBD,TBD,Leicester City,20251004,1500
EFL Championship,779,91,17,Derby County,TBD,TBD,Southampton,20251004,1500
EFL Championship,779,94,1792,Ipswich Town,TBD,TBD,Norwich City,20251004,1500
EFL Championship,779,1952,1794,Hull City,TBD,TBD,Sheffield United,20251004,1500
EFL Championship,779,15,97,Queens Park Rangers,TBD,TBD,Millwall,20251018,1230
EFL Championship,779,17,1960,Southampton,TBD,TBD,Swansea City,20251018,1500
EFL Championship,779,12,94,Middlesbrough,TBD,TBD,Ipswich Town,20251018,1500
EFL Championship,779,1792,1919,Norwich City,TBD,TBD,Bristol City,20251018,1500
EFL Championship,779,1951,91,Oxford United,TBD,TBD,Derby County,20251018,1500
EFL Championship,779,109,1801,West Bromwich Albion,TBD,TBD,Preston North End,20251018,1500
EFL Championship,779,1800,3,Coventry City,TBD,TBD,Blackburn Rovers,20251018,1500
EFL Championship,779,89,1807,Charlton Athletic,TBD,TBD,Sheffield Wednesday,20251018,1500
EFL Championship,779,1794,1795,Sheffield United,TBD,TBD,Watford,20251018,1500
EFL Championship,779,88,1952,Birmingham City,TBD,TBD,Hull City,20251018,1500
EFL Championship,779,95,1790,Leicester City,TBD,TBD,Portsmouth,20251018,1500
EFL Championship,779,1806,1947,Stoke City,TBD,TBD,Wrexham,20251018,1500
EFL Championship,779,91,1792,Derby County,TBD,TBD,Norwich City,20251021,1945
EFL Championship,779,1790,1800,Portsmouth,TBD,TBD,Coventry City,20251021,1945
EFL Championship,779,3,1794,Blackburn Rovers,TBD,TBD,Sheffield United,20251021,1945
EFL Championship,779,1952,95,Hull City,TBD,TBD,Leicester City,20251021,1945
EFL Championship,779,1801,88,Preston North End,TBD,TBD,Birmingham City,20251021,1945
EFL Championship,779,97,1806,Millwall,TBD,TBD,Stoke City,20251021,1945
EFL Championship,779,94,89,Ipswich Town,TBD,TBD,Charlton Athletic,20251021,1945
EFL Championship,779,1919,17,Bristol City,TBD,TBD,Southampton,20251021,1945
EFL Championship,779,1795,109,Watford,TBD,TBD,West Bromwich Albion,20251022,1945
EFL Championship,779,1960,15,Swansea City,TBD,TBD,Queens Park Rangers,20251022,1945
EFL Championship,779,1807,12,Sheffield Wednesday,TBD,TBD,Middlesbrough,20251022,1945
EFL Championship,779,1947,1951,Wrexham,TBD,TBD,Oxford United,20251022,1945
EFL Championship,779,1960,1792,Swansea City,TBD,TBD,Norwich City,20251025,1500
EFL Championship,779,97,95,Millwall,TBD,TBD,Leicester City,20251025,1500
EFL Championship,779,94,109,Ipswich Town,TBD,TBD,West Bromwich Albion,20251025,1500
EFL Championship,779,1801,1794,Preston North End,TBD,TBD,Sheffield United,20251025,1500
EFL Championship,779,1800,1795,Coventry City,TBD,TBD,Watford,20251025,1500
EFL Championship,779,1790,1806,Portsmouth,TBD,TBD,Stoke City,20251025,1500
EFL Championship,779,1952,89,Hull City,TBD,TBD,Charlton Athletic,20251025,1500
EFL Championship,779,1919,88,Bristol City,TBD,TBD,Birmingham City,20251025,1500
EFL Championship,779,1807,1951,Sheffield Wednesday,TBD,TBD,Oxford United,20251025,1500
EFL Championship,779,12,1947,Middlesbrough,TBD,TBD,Wrexham,20251025,1500
EFL Championship,779,3,17,Blackburn Rovers,TBD,TBD,Southampton,20251025,1500
EFL Championship,779,91,15,Derby County,TBD,TBD,Queens Park Rangers,20251025,1500
EFL Championship,779,88,1790,Birmingham City,TBD,TBD,Portsmouth,20251101,1500
EFL Championship,779,1947,1800,Wrexham,TBD,TBD,Coventry City,20251101,1500
EFL Championship,779,15,94,Queens Park Rangers,TBD,TBD,Ipswich Town,20251101,1500
EFL Championship,779,95,3,Leicester City,TBD,TBD,Blackburn Rovers,20251101,1500
EFL Championship,779,1794,91,Sheffield United,TBD,TBD,Derby County,20251101,1500
EFL Championship,779,17,1801,Southampton,TBD,TBD,Preston North End,20251101,1500
EFL Championship,779,89,1960,Charlton Athletic,TBD,TBD,Swansea City,20251101,1500
EFL Championship,779,1795,12,Watford,TBD,TBD,Middlesbrough,20251101,1500
EFL Championship,779,109,1807,West Bromwich Albion,TBD,TBD,Sheffield Wednesday,20251101,1500
EFL Championship,779,1792,1952,Norwich City,TBD,TBD,Hull City,20251101,1500
EFL Championship,779,1951,97,Oxford United,TBD,TBD,Millwall,20251101,1500
EFL Championship,779,1806,1919,Stoke City,TBD,TBD,Bristol City,20251101,1500
EFL Championship,779,88,97,Birmingham City,TBD,TBD,Millwall,20251104,1945
EFL Championship,779,94,1795,Ipswich Town,TBD,TBD,Watford,20251104,1945
EFL Championship,779,1919,3,Bristol City,TBD,TBD,Blackburn Rovers,20251104,1945
