competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Emirates FA Cup,469,1944,92,Cambridge United,TBD,TBD,Grimsby Town,20251101,1500
Emirates FA Cup,469,381,112222,Barrow,TBD,TBD,Harrogate Town,20251101,1500
Emirates FA Cup,469,112260,113926,Fleetwood Town,TBD,TBD,Salford City,20251031,1945
Emirates FA Cup,469,1937,135,Notts County,TBD,TBD,Barnet,20251101,1500
Emirates FA Cup,469,121,1934,Crewe Alexandra,TBD,TBD,Swindon Town,20251101,1500
Emirates FA Cup,469,1920,112254,Oldham Athletic,TBD,TBD,Newport County,20251102,1600
Emirates FA Cup,469,110890,110313,Crawley Town,TBD,TBD,Accrington Stanley,20251101,1500
Emirates FA Cup,469,1962,1803,Bristol Rovers,TBD,TBD,Walsall,20251101,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251128,1945
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251130,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251130,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1730
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251130,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251130,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20251129,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1245
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260111,1400
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260111,1400
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260110,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260215,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260215,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260215,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1245
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1730
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260214,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260308,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260308,1330
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260307,1245
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260307,1730
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260307,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260308,1330
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260307,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260307,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260404,1245
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260405,1600
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260404,1730
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260405,1330
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260426,1500
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260425,1730
Emirates FA Cup,469,-1,-1, ,TBD,TBD, ,20260516,1730
