competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
International Friendly,1833,113009,113996,United States,TBD,TBD,Argentina,20251024,1945
International Friendly,1833,113007,113003,Norway,TBD,TBD,France,20251025,1600
International Friendly,1833,113002,113004,England,TBD,TBD,Germany,20251024,1945
International Friendly,1833,113000,113984,Canada,TBD,TBD,Scotland,20251025,1600
International Friendly,1833,115362,113008,Denmark,TBD,TBD,Sweden,20251024,1945
International Friendly,1833,113011,113010,Netherlands,TBD,TBD,Mexico,20251025,1600
International Friendly,1833,131877,113012,Poland,TBD,TBD,Spain,20251024,1945
International Friendly,1833,115682,116428,Portugal,TBD,TBD,Iceland,20251025,1600
International Friendly,1833,113007,113004,Norway,TBD,TBD,Germany,20251029,1945
International Friendly,1833,116428,113996,Iceland,TBD,TBD,Argentina,20251029,1945
International Friendly,1833,113009,115682,United States,TBD,TBD,Portugal,20251029,1945
International Friendly,1833,113010,113984,Mexico,TBD,TBD,Scotland,20251029,1945
International Friendly,1833,113002,113000,England,TBD,TBD,Canada,20251029,1945
International Friendly,1833,113012,113011,Spain,TBD,TBD,Netherlands,20251029,1945
International Friendly,1833,113003,131877,France,TBD,TBD,Poland,20251029,1945
International Friendly,1833,115362,113008,Denmark,TBD,TBD,Sweden,20251029,1945
International Friendly,1833,113010,131124,Mexico,TBD,TBD,Finland,20251126,1945
International Friendly,1833,113012,113996,Spain,TBD,TBD,Argentina,20251126,1945
International Friendly,1833,113984,115682,Scotland,TBD,TBD,Portugal,20251126,1945
International Friendly,1833,113004,113009,Germany,TBD,TBD,United States,20251126,1945
International Friendly,1833,113008,115362,Sweden,TBD,TBD,Denmark,20251126,1945
International Friendly,1833,116428,113002,Iceland,TBD,TBD,England,20251126,1945
International Friendly,1833,113000,113003,Canada,TBD,TBD,France,20251126,1945
International Friendly,1833,131877,113007,Poland,TBD,TBD,Norway,20251126,1945
International Friendly,1833,115682,113000,Portugal,TBD,TBD,Canada,20251129,1600
International Friendly,1833,131877,113010,Poland,TBD,TBD,Mexico,20251130,1945
International Friendly,1833,113007,113002,Norway,TBD,TBD,England,20251129,1600
International Friendly,1833,113984,113012,Scotland,TBD,TBD,Spain,20251130,1945
International Friendly,1833,113003,113009,France,TBD,TBD,United States,20251129,1600
International Friendly,1833,113996,113008,Argentina,TBD,TBD,Sweden,20251130,1945
International Friendly,1833,131124,116428,Finland,TBD,TBD,Iceland,20251129,1600
International Friendly,1833,113004,115362,Germany,TBD,TBD,Denmark,20251130,1945
International Friendly,1833,131124,115362,Finland,TBD,TBD,Denmark,20260225,1945
International Friendly,1833,113009,113007,United States,TBD,TBD,Norway,20260225,1945
International Friendly,1833,113984,113003,Scotland,TBD,TBD,France,20260225,1945
International Friendly,1833,113002,131877,England,TBD,TBD,Poland,20260225,1945
International Friendly,1833,115682,113008,Portugal,TBD,TBD,Sweden,20260225,1945
International Friendly,1833,113996,113011,Argentina,TBD,TBD,Netherlands,20260225,1945
International Friendly,1833,116428,113000,Iceland,TBD,TBD,Canada,20260225,1945
International Friendly,1833,113010,113012,Mexico,TBD,TBD,Spain,20260225,1945
International Friendly,1833,113009,115682,United States,TBD,TBD,Portugal,20260301,1600
International Friendly,1833,113000,113003,Canada,TBD,TBD,France,20260302,1945
International Friendly,1833,131877,131124,Poland,TBD,TBD,Finland,20260301,1600
International Friendly,1833,116428,113011,Iceland,TBD,TBD,Netherlands,20260302,1945
International Friendly,1833,113996,113007,Argentina,TBD,TBD,Norway,20260301,1600
International Friendly,1833,113984,113010,Scotland,TBD,TBD,Mexico,20260302,1945
International Friendly,1833,115362,113002,Denmark,TBD,TBD,England,20260301,1600
International Friendly,1833,113008,113012,Sweden,TBD,TBD,Spain,20260302,1945
International Friendly,1833,131877,113002,Poland,TBD,TBD,England,20260410,1945
International Friendly,1833,113996,113010,Argentina,TBD,TBD,Mexico,20260411,1800
International Friendly,1833,116428,113008,Iceland,TBD,TBD,Sweden,20260410,1945
International Friendly,1833,113007,113000,Norway,TBD,TBD,Canada,20260411,1800
International Friendly,1833,113012,131124,Spain,TBD,TBD,Finland,20260410,1945
International Friendly,1833,115362,113004,Denmark,TBD,TBD,Germany,20260411,1800
International Friendly,1833,113003,113984,France,TBD,TBD,Scotland,20260410,1945
International Friendly,1833,115682,113011,Portugal,TBD,TBD,Netherlands,20260411,1800
International Friendly,1833,113011,113000,Netherlands,TBD,TBD,Canada,20260414,1945
International Friendly,1833,113003,113984,France,TBD,TBD,Scotland,20260414,1945
International Friendly,1833,115362,113004,Denmark,TBD,TBD,Germany,20260414,1945
International Friendly,1833,131877,113007,Poland,TBD,TBD,Norway,20260414,1945
International Friendly,1833,115682,113012,Portugal,TBD,TBD,Spain,20260414,1945
International Friendly,1833,116428,131124,Iceland,TBD,TBD,Finland,20260414,1945
International Friendly,1833,113010,113996,Mexico,TBD,TBD,Argentina,20260414,1945
International Friendly,1833,113008,113002,Sweden,TBD,TBD,England,20260414,1945
