competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Liga Portugal,1206,234,744,SL Benfica,4,2,Rio Ave FC,20250808,2145
Liga Portugal,1206,112513,131463,FC Arouca,2,0,AVS Futebol SAD,20250809,1630
Liga Portugal,1206,1891,1888,CD Nacional,1,1,Gil Vicente FC,20250809,1630
Liga Portugal,1206,236,1887,FC Porto,1,0,Vitória SC,20250809,1900
Liga Portugal,1206,112809,1438,FC Famalicão,1,0,Santa Clara,20250809,2130
Liga Portugal,1206,114510,237,Casa Pia AC,1,4,Sporting CP,20250810,1900
Liga Portugal,1206,10020,718,Estoril Praia,2,0,Estrela Amadora,20250810,1630
Liga Portugal,1206,1900,717,Moreirense FC,1,2,FC Alverca,20250810,2130
Liga Portugal,1206,1896,112516,SC Braga,2,3,CD Tondela,20250811,2145
Liga Portugal,1206,237,112513,Sporting CP,2,0,FC Arouca,20250815,2145
Liga Portugal,1206,718,234,Estrela Amadora,1,2,SL Benfica,20250816,2130
Liga Portugal,1206,131463,114510,AVS Futebol SAD,2,2,Casa Pia AC,20250816,1630
Liga Portugal,1206,744,1891,Rio Ave FC,1,1,CD Nacional,20250816,1900
Liga Portugal,1206,112516,112809,CD Tondela,0,2,FC Famalicão,20250816,1630
Liga Portugal,1206,717,1896,FC Alverca,2,2,SC Braga,20250817,1900
Liga Portugal,1206,1888,236,Gil Vicente FC,3,3,FC Porto,20250817,2130
Liga Portugal,1206,1438,1900,Santa Clara,1,1,Moreirense FC,20250817,1630
Liga Portugal,1206,1887,10020,Vitória SC,2,2,Estoril Praia,20250818,2145
Liga Portugal,1206,234,112516,SL Benfica,3,0,CD Tondela,20250822,2145
Liga Portugal,1206,112513,744,FC Arouca,1,3,Rio Ave FC,20250823,1630
Liga Portugal,1206,718,717,Estrela Amadora,2,0,FC Alverca,20250823,1630
Liga Portugal,1206,10020,1438,Estoril Praia,1,1,Santa Clara,20250823,1900
Liga Portugal,1206,112809,1888,FC Famalicão,1,1,Gil Vicente FC,20250823,2130
Liga Portugal,1206,236,114510,FC Porto,2,1,Casa Pia AC,20250824,1630
Liga Portugal,1206,1896,131463,SC Braga,3,3,AVS Futebol SAD,20250824,1900
Liga Portugal,1206,1891,237,CD Nacional,1,3,Sporting CP,20250824,2130
Liga Portugal,1206,1900,1887,Moreirense FC,2,2,Vitória SC,20250825,2145
Liga Portugal,1206,131463,112809,AVS Futebol SAD,1,2,FC Famalicão,20250829,2145
Liga Portugal,1206,114510,1891,Casa Pia AC,1,1,CD Nacional,20250830,1630
Liga Portugal,1206,744,1896,Rio Ave FC,1,2,SC Braga,20250830,1630
Liga Portugal,1206,717,234,FC Alverca,0,4,SL Benfica,20250830,1900
Liga Portugal,1206,1887,112513,Vitória SC,1,0,FC Arouca,20250830,2130
Liga Portugal,1206,1438,718,Santa Clara,1,2,Estrela Amadora,20250831,1630
Liga Portugal,1206,112516,10020,CD Tondela,1,1,Estoril Praia,20250831,1900
Liga Portugal,1206,237,236,Sporting CP,1,1,FC Porto,20250831,2130
Liga Portugal,1206,1888,1900,Gil Vicente FC,1,2,Moreirense FC,20250901,2145
Liga Portugal,1206,112809,237,FC Famalicão,0,3,Sporting CP,20250912,2145
Liga Portugal,1206,112513,114510,FC Arouca,1,2,Casa Pia AC,20250913,1630
Liga Portugal,1206,234,1438,SL Benfica,2,3,Santa Clara,20250913,1630
Liga Portugal,1206,10020,131463,Estoril Praia,2,2,AVS Futebol SAD,20250913,1900
Liga Portugal,1206,718,1887,Estrela Amadora,1,2,Vitória SC,20250913,2130
Liga Portugal,1206,717,112516,FC Alverca,0,3,CD Tondela,20250914,1630
Liga Portugal,1206,236,1891,FC Porto,2,0,CD Nacional,20250914,1900
Liga Portugal,1206,1896,1888,SC Braga,2,2,Gil Vicente FC,20250914,2130
Liga Portugal,1206,1900,744,Moreirense FC,1,1,Rio Ave FC,20250915,2145
Liga Portugal,1206,1891,112513,CD Nacional,1,1,FC Arouca,20250919,2145
Liga Portugal,1206,114510,112809,Casa Pia AC,1,2,FC Famalicão,20250920,1630
