competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Ligue 1 McDonald's,874,57,217,AJ Auxerre,1,1,FC Lorient,20250815,2000
Ligue 1 McDonald's,874,72,1809,OGC Nice,2,0,Toulouse FC,20250816,1600
Ligue 1 McDonald's,874,68,76,FC Metz,1,3,RC Strasbourg Alsace,20250816,1800
Ligue 1 McDonald's,874,71,73,FC Nantes,0,2,Paris Saint-Germain,20250816,2000
Ligue 1 McDonald's,874,69,1738,AS Monaco,2,1,Havre AC,20250817,1400
Ligue 1 McDonald's,874,1530,111817,Angers SCO,0,2,Paris FC,20250817,1400
Ligue 1 McDonald's,874,378,65,Stade Brestois 29,1,3,LOSC Lille,20250817,1400
Ligue 1 McDonald's,874,64,66,RC Lens,0,2,Olympique Lyonnais,20250817,1600
Ligue 1 McDonald's,874,74,219,Stade Rennais FC,1,3,Olympique de Marseille,20250817,1945
Ligue 1 McDonald's,874,217,74,FC Lorient,0,3,Stade Rennais FC,20250822,2000
Ligue 1 McDonald's,874,73,1530,Paris Saint-Germain,4,0,Angers SCO,20250823,1600
Ligue 1 McDonald's,874,76,71,RC Strasbourg Alsace,3,1,FC Nantes,20250823,1800
Ligue 1 McDonald's,874,219,111817,Olympique de Marseille,3,2,Paris FC,20250823,2000
Ligue 1 McDonald's,874,72,57,OGC Nice,2,4,AJ Auxerre,20250824,1400
Ligue 1 McDonald's,874,1809,378,Toulouse FC,2,2,Stade Brestois 29,20250824,1400
Ligue 1 McDonald's,874,1738,64,Havre AC,0,1,RC Lens,20250824,1400
Ligue 1 McDonald's,874,66,68,Olympique Lyonnais,1,3,FC Metz,20250824,1600
Ligue 1 McDonald's,874,65,69,LOSC Lille,1,3,AS Monaco,20250824,1945
Ligue 1 McDonald's,874,111817,68,Paris FC,1,2,FC Metz,20250829,2000
Ligue 1 McDonald's,874,71,57,FC Nantes,0,1,AJ Auxerre,20250830,1600
Ligue 1 McDonald's,874,64,378,RC Lens,2,1,Stade Brestois 29,20250830,1800
