competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,112387,113057,Al Ahli,1,2,Al Fayha,20250815,1755
Saudi Pro League,1645,112139,112096,Al Nassr,1,2,Al Ettifaq,20250816,1555
Saudi Pro League,1645,111674,112391,Al Shabab,1,2,Al Qadsiah,20250815,1605
Saudi Pro League,1645,112393,131735,Al Taawoun,2,2,Al Kholood,20250816,1755
Saudi Pro League,1645,112390,607,Al Fateh,2,3,Al Ittihad,20250815,1605
Saudi Pro League,1645,131798,115892,Neom,2,2,Al Najmah,20250815,1755
Saudi Pro League,1645,113060,112883,Al Okhdood,1,1,Al Khaleej,20250815,1755
Saudi Pro League,1645,113037,113217,Al Riyadh,0,1,Damac,20250816,1555
Saudi Pro League,1645,113222,605,Al Hazem,2,3,Al Hilal,20250815,1755
Saudi Pro League,1645,113222,112387,Al Hazem,2,3,Al Ahli,20250823,1400
Saudi Pro League,1645,605,113037,Al Hilal,4,1,Al Riyadh,20250823,1700
Saudi Pro League,1645,113217,113060,Damac,1,2,Al Okhdood,20250822,1700
Saudi Pro League,1645,112883,131798,Al Khaleej,0,2,Neom,20250823,1600
Saudi Pro League,1645,115892,112390,Al Najmah,1,3,Al Fateh,20250823,1400
Saudi Pro League,1645,607,112393,Al Ittihad,2,3,Al Taawoun,20250823,1600
Saudi Pro League,1645,131735,111674,Al Kholood,2,1,Al Shabab,20250823,1400
Saudi Pro League,1645,112391,112139,Al Qadsiah,0,2,Al Nassr,20250822,1700
Saudi Pro League,1645,112096,113057,Al Ettifaq,1,1,Al Fayha,20250822,1700
Saudi Pro League,1645,112387,112096,Al Ahli,2,2,Al Ettifaq,20250830,1700
Saudi Pro League,1645,113057,112391,Al Fayha,1,2,Al Qadsiah,20250830,1600
Saudi Pro League,1645,112139,131735,Al Nassr,2,1,Al Kholood,20250830,1400
Saudi Pro League,1645,111674,607,Al Shabab,4,3,Al Ittihad,20250829,1700
Saudi Pro League,1645,112393,115892,Al Taawoun,3,0,Al Najmah,20250830,1600
Saudi Pro League,1645,112390,112883,Al Fateh,2,4,Al Khaleej,20250829,1700
Saudi Pro League,1645,131798,113217,Neom,0,0,Damac,20250829,1700
Saudi Pro League,1645,113060,605,Al Okhdood,0,3,Al Hilal,20250829,1700
Saudi Pro League,1645,113037,113222,Al Riyadh,0,1,Al Hazem,20250830,1400
Saudi Pro League,1645,113037,112387,Al Riyadh,2,0,Al Ahli,20250913,1600
Saudi Pro League,1645,113222,113060,Al Hazem,1,1,Al Okhdood,20250913,1800
