competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Serie A Enilive,1076,110556,347,Genoa,2,2,Lecce,20250823,1730
Serie A Enilive,1076,111974,48,Sassuolo,1,1,SSC Napoli,20250823,1730
Serie A Enilive,1076,131681,111434,AC Milan,4,2,Cremonese,20250823,1945
Serie A Enilive,1076,52,189,AS Roma,2,1,Bologna,20250823,1945
Serie A Enilive,1076,1842,110374,Cagliari,2,1,Fiorentina,20250824,1730
Serie A Enilive,1076,1745,115841,Como 1907,1,1,Lazio,20250824,1730
Serie A Enilive,1076,115845,110738,Atalanta,2,1,Pisa,20250824,1945
Serie A Enilive,1076,45,50,Juventus,2,1,Parma,20250824,1945
Serie A Enilive,1076,55,206,Udinese,0,1,Hellas Verona,20250825,1730
Serie A Enilive,1076,131682,54,Inter Milan,1,2,Torino,20250825,1945
Serie A Enilive,1076,111434,111974,Cremonese,0,2,Sassuolo,20250829,1730
Serie A Enilive,1076,347,131681,Lecce,1,3,AC Milan,20250829,1945
Serie A Enilive,1076,189,1745,Bologna,2,2,Como 1907,20250830,1730
Serie A Enilive,1076,50,115845,Parma,3,2,Atalanta,20250830,1730
Serie A Enilive,1076,48,1842,SSC Napoli,2,2,Cagliari,20250830,1945
Serie A Enilive,1076,110738,52,Pisa,2,2,AS Roma,20250830,1945
Serie A Enilive,1076,110556,45,Genoa,1,2,Juventus,20250831,1730
Serie A Enilive,1076,54,110374,Torino,3,2,Fiorentina,20250831,1730
Serie A Enilive,1076,131682,55,Inter Milan,3,3,Udinese,20250831,1945
Serie A Enilive,1076,115841,206,Lazio,3,2,Hellas Verona,20250831,1945
Serie A Enilive,1076,1842,50,Cagliari,0,1,Parma,20250913,1400
Serie A Enilive,1076,45,131682,Juventus,1,3,Inter Milan,20250913,1700
Serie A Enilive,1076,110374,48,Fiorentina,1,0,SSC Napoli,20250913,1945
Serie A Enilive,1076,52,54,AS Roma,2,1,Torino,20250914,1130
Serie A Enilive,1076,115845,347,Atalanta,3,1,Lecce,20250913,1945
Serie A Enilive,1076,110738,55,Pisa,0,1,Udinese,20250914,1400
Serie A Enilive,1076,111974,115841,Sassuolo,0,2,Lazio,20250914,1700
Serie A Enilive,1076,131681,189,AC Milan,1,1,Bologna,20250914,1945
Serie A Enilive,1076,206,111434,Hellas Verona,1,2,Cremonese,20250915,1730
Serie A Enilive,1076,1745,110556,Como 1907,1,2,Genoa,20250915,1945
Serie A Enilive,1076,111434,50,Cremonese,2,0,Parma,20250919,1945
Serie A Enilive,1076,110374,1745,Fiorentina,1,1,Como 1907,20250920,1400
Serie A Enilive,1076,131682,111974,Inter Milan,2,0,Sassuolo,20250920,1700
Serie A Enilive,1076,54,115845,Torino,2,1,Atalanta,20250920,1945
Serie A Enilive,1076,48,110738,SSC Napoli,2,0,Pisa,20250921,1130
Serie A Enilive,1076,189,110556,Bologna,1,1,Genoa,20250920,1700
Serie A Enilive,1076,55,131681,Udinese,2,1,AC Milan,20250920,1700
Serie A Enilive,1076,115841,52,Lazio,1,2,AS Roma,20250921,1700
Serie A Enilive,1076,206,45,Hellas Verona,1,1,Juventus,20250921,1945
Serie A Enilive,1076,347,1842,Lecce,0,1,Cagliari,20250920,1700
Serie A Enilive,1076,111974,55,Sassuolo,1,0,Udinese,20250926,1945
Serie A Enilive,1076,1745,111434,Como 1907,3,1,Cremonese,20250927,1400
Serie A Enilive,1076,131681,48,AC Milan,0,1,SSC Napoli,20250927,1700
Serie A Enilive,1076,110738,110374,Pisa,2,3,Fiorentina,20250927,1945
Serie A Enilive,1076,45,115845,Juventus,1,1,Atalanta,20250927,1700
Serie A Enilive,1076,50,54,Parma,TBD,TBD,Torino,20250928,1400
Serie A Enilive,1076,52,206,AS Roma,TBD,TBD,Hellas Verona,20250928,1400
Serie A Enilive,1076,1842,131682,Cagliari,TBD,TBD,Inter Milan,20250928,1700
Serie A Enilive,1076,110556,115841,Genoa,TBD,TBD,Lazio,20250928,1945
Serie A Enilive,1076,347,189,Lecce,TBD,TBD,Bologna,20250929,1945
Serie A Enilive,1076,206,111974,Hellas Verona,TBD,TBD,Sassuolo,20251003,1945
Serie A Enilive,1076,55,1842,Udinese,TBD,TBD,Cagliari,20251004,1400
Serie A Enilive,1076,131682,111434,Inter Milan,TBD,TBD,Cremonese,20251004,1700
Serie A Enilive,1076,48,110556,SSC Napoli,TBD,TBD,Genoa,20251004,1945
Serie A Enilive,1076,110374,52,Fiorentina,TBD,TBD,AS Roma,20251005,1130
Serie A Enilive,1076,115845,1745,Atalanta,TBD,TBD,Como 1907,20251005,1400
Serie A Enilive,1076,189,110738,Bologna,TBD,TBD,Pisa,20251005,1400
Serie A Enilive,1076,115841,54,Lazio,TBD,TBD,Torino,20251005,1400
Serie A Enilive,1076,50,347,Parma,TBD,TBD,Lecce,20251005,1700
Serie A Enilive,1076,45,131681,Juventus,TBD,TBD,AC Milan,20251005,1945
Serie A Enilive,1076,1842,189,Cagliari,TBD,TBD,Bologna,20251017,1945
Serie A Enilive,1076,111434,55,Cremonese,TBD,TBD,Udinese,20251018,1400
Serie A Enilive,1076,1745,45,Como 1907,TBD,TBD,Juventus,20251018,1700
Serie A Enilive,1076,54,48,Torino,TBD,TBD,SSC Napoli,20251018,1945
Serie A Enilive,1076,115845,115841,Atalanta,TBD,TBD,Lazio,20251019,1130
Serie A Enilive,1076,110556,50,Genoa,TBD,TBD,Parma,20251019,1400
Serie A Enilive,1076,110738,206,Pisa,TBD,TBD,Hellas Verona,20251019,1400
Serie A Enilive,1076,52,131682,AS Roma,TBD,TBD,Inter Milan,20251019,1700
Serie A Enilive,1076,131681,110374,AC Milan,TBD,TBD,Fiorentina,20251019,1945
Serie A Enilive,1076,347,111974,Lecce,TBD,TBD,Sassuolo,20251020,1945
Serie A Enilive,1076,55,347,Udinese,TBD,TBD,Lecce,20251024,1945
Serie A Enilive,1076,54,110556,Torino,TBD,TBD,Genoa,20251025,1400
Serie A Enilive,1076,131681,110738,AC Milan,TBD,TBD,Pisa,20251025,1700
Serie A Enilive,1076,111974,52,Sassuolo,TBD,TBD,AS Roma,20251025,1945
Serie A Enilive,1076,115841,45,Lazio,TBD,TBD,Juventus,20251025,1700
Serie A Enilive,1076,110374,189,Fiorentina,TBD,TBD,Bologna,20251026,1130
Serie A Enilive,1076,50,1745,Parma,TBD,TBD,Como 1907,20251025,1700
Serie A Enilive,1076,111434,115845,Cremonese,TBD,TBD,Atalanta,20251025,1700
Serie A Enilive,1076,48,131682,SSC Napoli,TBD,TBD,Inter Milan,20251026,1945
Serie A Enilive,1076,206,1842,Hellas Verona,TBD,TBD,Cagliari,20251025,1700
Serie A Enilive,1076,189,54,Bologna,TBD,TBD,Torino,20251029,1945
Serie A Enilive,1076,45,55,Juventus,TBD,TBD,Udinese,20251028,1700
Serie A Enilive,1076,115845,131681,Atalanta,TBD,TBD,AC Milan,20251028,1945
Serie A Enilive,1076,52,50,AS Roma,TBD,TBD,Parma,20251028,1945
Serie A Enilive,1076,1842,111974,Cagliari,TBD,TBD,Sassuolo,20251028,1945
Serie A Enilive,1076,1745,206,Como 1907,TBD,TBD,Hellas Verona,20251028,1945
Serie A Enilive,1076,110556,111434,Genoa,TBD,TBD,Cremonese,20251029,1945
Serie A Enilive,1076,131682,110374,Inter Milan,TBD,TBD,Fiorentina,20251029,1945
Serie A Enilive,1076,347,48,Lecce,TBD,TBD,SSC Napoli,20251029,1945
Serie A Enilive,1076,110738,115841,Pisa,TBD,TBD,Lazio,20251028,1945
Serie A Enilive,1076,54,110738,Torino,TBD,TBD,Pisa,20251101,1700
Serie A Enilive,1076,111434,45,Cremonese,TBD,TBD,Juventus,20251101,1400
Serie A Enilive,1076,111974,110556,Sassuolo,TBD,TBD,Genoa,20251101,1700
Serie A Enilive,1076,48,1745,SSC Napoli,TBD,TBD,Como 1907,20251101,1945
Serie A Enilive,1076,131681,52,AC Milan,TBD,TBD,AS Roma,20251102,1130
Serie A Enilive,1076,50,189,Parma,TBD,TBD,Bologna,20251102,1400
Serie A Enilive,1076,55,115845,Udinese,TBD,TBD,Atalanta,20251101,1700
Serie A Enilive,1076,110374,347,Fiorentina,TBD,TBD,Lecce,20251102,1700
Serie A Enilive,1076,206,131682,Hellas Verona,TBD,TBD,Inter Milan,20251101,1700
Serie A Enilive,1076,115841,1842,Lazio,TBD,TBD,Cagliari,20251103,1945
Serie A Enilive,1076,347,206,Lecce,TBD,TBD,Hellas Verona,20251107,1945
Serie A Enilive,1076,110556,110374,Genoa,TBD,TBD,Fiorentina,20251109,1130
Serie A Enilive,1076,1745,1842,Como 1907,TBD,TBD,Cagliari,20251108,1700
Serie A Enilive,1076,115845,111974,Atalanta,TBD,TBD,Sassuolo,20251108,1945
Serie A Enilive,1076,189,48,Bologna,TBD,TBD,SSC Napoli,20251109,1130
Serie A Enilive,1076,131682,115841,Inter Milan,TBD,TBD,Lazio,20251109,1400
Serie A Enilive,1076,110738,111434,Pisa,TBD,TBD,Cremonese,20251109,1400
Serie A Enilive,1076,52,55,AS Roma,TBD,TBD,Udinese,20251109,1400
Serie A Enilive,1076,50,131681,Parma,TBD,TBD,AC Milan,20251109,1700
Serie A Enilive,1076,45,54,Juventus,TBD,TBD,Torino,20251109,1945
Serie A Enilive,1076,54,1745,Torino,TBD,TBD,Como 1907,20251121,1945
Serie A Enilive,1076,111974,110738,Sassuolo,TBD,TBD,Pisa,20251122,1400
Serie A Enilive,1076,115841,347,Lazio,TBD,TBD,Lecce,20251122,1700
Serie A Enilive,1076,111434,52,Cremonese,TBD,TBD,AS Roma,20251122,1945
Serie A Enilive,1076,48,115845,SSC Napoli,TBD,TBD,Atalanta,20251122,1700
Serie A Enilive,1076,110374,45,Fiorentina,TBD,TBD,Juventus,20251123,1400
Serie A Enilive,1076,55,189,Udinese,TBD,TBD,Bologna,20251123,1400
Serie A Enilive,1076,1842,110556,Cagliari,TBD,TBD,Genoa,20251123,1700
Serie A Enilive,1076,131682,131681,Inter Milan,TBD,TBD,AC Milan,20251122,1700
Serie A Enilive,1076,206,50,Hellas Verona,TBD,TBD,Parma,20251124,1945
Serie A Enilive,1076,131681,115841,AC Milan,TBD,TBD,Lazio,20251128,1945
Serie A Enilive,1076,1745,111974,Como 1907,TBD,TBD,Sassuolo,20251129,1400
Serie A Enilive,1076,52,48,AS Roma,TBD,TBD,SSC Napoli,20251130,1130
Serie A Enilive,1076,115845,110374,Atalanta,TBD,TBD,Fiorentina,20251130,1130
Serie A Enilive,1076,347,54,Lecce,TBD,TBD,Torino,20251130,1130
Serie A Enilive,1076,110556,206,Genoa,TBD,TBD,Hellas Verona,20251130,1400
Serie A Enilive,1076,110738,131682,Pisa,TBD,TBD,Inter Milan,20251130,1400
Serie A Enilive,1076,50,55,Parma,TBD,TBD,Udinese,20251130,1700
Serie A Enilive,1076,45,1842,Juventus,TBD,TBD,Cagliari,20251130,1945
Serie A Enilive,1076,189,111434,Bologna,TBD,TBD,Cremonese,20251201,1945
Serie A Enilive,1076,131682,1745,Inter Milan,TBD,TBD,Como 1907,20251205,1945
Serie A Enilive,1076,111434,347,Cremonese,TBD,TBD,Lecce,20251206,1400
Serie A Enilive,1076,111974,110374,Sassuolo,TBD,TBD,Fiorentina,20251206,1700
Serie A Enilive,1076,54,131681,Torino,TBD,TBD,AC Milan,20251206,1945
Serie A Enilive,1076,48,45,SSC Napoli,TBD,TBD,Juventus,20251206,1700
Serie A Enilive,1076,206,115845,Hellas Verona,TBD,TBD,Atalanta,20251206,1700
Serie A Enilive,1076,55,110556,Udinese,TBD,TBD,Genoa,20251207,1400
Serie A Enilive,1076,1842,52,Cagliari,TBD,TBD,AS Roma,20251207,1700
Serie A Enilive,1076,115841,189,Lazio,TBD,TBD,Bologna,20251207,1945
Serie A Enilive,1076,110738,50,Pisa,TBD,TBD,Parma,20251208,1945
Serie A Enilive,1076,54,111434,Torino,TBD,TBD,Cremonese,20251212,1945
Serie A Enilive,1076,110374,206,Fiorentina,TBD,TBD,Hellas Verona,20251214,1130
Serie A Enilive,1076,131681,111974,AC Milan,TBD,TBD,Sassuolo,20251213,1700
Serie A Enilive,1076,115845,1842,Atalanta,TBD,TBD,Cagliari,20251213,1945
Serie A Enilive,1076,110556,131682,Genoa,TBD,TBD,Inter Milan,20251213,1700
Serie A Enilive,1076,347,110738,Lecce,TBD,TBD,Pisa,20251213,1700
Serie A Enilive,1076,52,1745,AS Roma,TBD,TBD,Como 1907,20251213,1700
Serie A Enilive,1076,50,115841,Parma,TBD,TBD,Lazio,20251213,1700
Serie A Enilive,1076,55,48,Udinese,TBD,TBD,SSC Napoli,20251213,1700
Serie A Enilive,1076,189,45,Bologna,TBD,TBD,Juventus,20251214,1130
Serie A Enilive,1076,111974,54,Sassuolo,TBD,TBD,Torino,20251220,1400
Serie A Enilive,1076,131681,1745,AC Milan,TBD,TBD,Como 1907,20251220,1700
Serie A Enilive,1076,48,50,SSC Napoli,TBD,TBD,Parma,20251220,1945
Serie A Enilive,1076,206,189,Hellas Verona,TBD,TBD,Bologna,20251221,1130
