competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Taça Portuguesa,1181,131463,717,AVS Futebol SAD,TBD,TBD,FC Alverca,20251216,1945
Taça Portuguesa,1181,1900,236,Moreirense FC,TBD,TBD,FC Porto,20251216,1945
Taça Portuguesa,1181,744,-1,Rio Ave FC,TBD,TBD, ,20260114,1945
Taça Portuguesa,1181,112516,-1,CD Tondela,TBD,TBD, ,20260113,1945
Taça Portuguesa,1181,112513,1887,FC Arouca,TBD,TBD,Vitória SC,20260115,1945
Taça Portuguesa,1181,237,1896,Sporting CP,TBD,TBD,SC Braga,20260113,1945
Taça Portuguesa,1181,114510,718,Casa Pia AC,TBD,TBD,Estrela Amadora,20260113,1945
Taça Portuguesa,1181,112809,234,FC Famalicão,TBD,TBD,SL Benfica,20260113,1945
Taça Portuguesa,1181,1891,1438,CD Nacional,TBD,TBD,Santa Clara,20260113,1945
Taça Portuguesa,1181,10020,1888,Estoril Praia,TBD,TBD,Gil Vicente FC,20260113,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260204,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260203,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260203,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260204,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260304,2015
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260422,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260303,1945
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260421,2015
Taça Portuguesa,1181,-1,-1, ,TBD,TBD, ,20260523,2015
