competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Türkiye Kupası,1455,101037,110776,Çaykur Rizespor,TBD,TBD,Gaziantep FK,20251203,1730
Türkiye Kupası,1455,326,131174,Fenerbahçe SK,TBD,TBD,İKAS Eyüpspor,20251202,1730
Türkiye Kupası,1455,436,-1,Trabzonspor,TBD,TBD, ,20260204,1730
Türkiye Kupası,1455,101026,-1,Göztepe SK,TBD,TBD, ,20260203,1730
Türkiye Kupası,1455,327,101033,Beşiktaş JK,TBD,TBD,Konyaspor,20260203,1730
Türkiye Kupası,1455,741,101025,Antalyaspor,TBD,TBD,Gençlerbirliği SK,20260204,1730
Türkiye Kupası,1455,101014,101020,RAMS Başakşehir,TBD,TBD,Kayserispor Futbol A.Ş,20260203,1730
Türkiye Kupası,1455,325,748,Galatasaray SK,TBD,TBD,Samsunspor A.Ş,20260204,1730
Türkiye Kupası,1455,111339,111117,Kasımpaşa SK,TBD,TBD,Fatih Karagümrük SK,20260204,1730
Türkiye Kupası,1455,101032,113142,Kocaelispor,TBD,TBD,Corendon Alanyaspor,20260203,1730
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260303,1730
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260303,1730
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260304,1730
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260304,1730
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260422,1745
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260513,1745
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260422,1745
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260513,1745
Türkiye Kupası,1455,-1,-1, ,TBD,TBD, ,20260531,1830
