competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
UECL,269,169,748,1. FSV Mainz 05,TBD,TBD,Samsunspor A.Ş,20251002,2000
UECL,269,267,77,AC Sparta Praha,TBD,TBD,Aberdeen,20251002,2000
UECL,269,278,308,AEK Athens,TBD,TBD,U Craiova 1948 Club Sportiv,20251002,2000
UECL,269,10032,873,FC Lugano,TBD,TBD,Lech Poznań,20251002,1755
UECL,269,306,81,Shamrock Rovers,TBD,TBD,Hibernian,20251002,1755
UECL,269,480,1443,Rayo Vallecano,TBD,TBD,Viborg FF,20251002,1755
UECL,269,76,1908,RC Strasbourg Alsace,TBD,TBD,FC Twente,20251002,1755
UECL,269,71,114326,FC Nantes,TBD,TBD,RKS Raków Częstochowa,20251002,1755
UECL,269,324,744,Servette FC,TBD,TBD,Rio Ave FC,20251002,2000
UECL,269,1906,110745,AZ,TBD,TBD,Jagiellonia Białystok,20251002,2000
UECL,269,112513,254,FC Arouca,TBD,TBD,SK Rapid,20251002,1755
UECL,269,1799,423,Crystal Palace,TBD,TBD,St. Patrick's Athletic,20251002,2000
UECL,269,101059,327,Shakhtar Donetsk,TBD,TBD,Beşiktaş JK,20251002,2000
UECL,269,1871,263,Legia Warszawa,TBD,TBD,HNK Hajduk Split,20251002,1755
UECL,269,670,834,Sporting Charleroi,TBD,TBD,Shelbourne FC,20251002,1755
UECL,269,418,711,Tromsø IL,TBD,TBD,BK Häcken,20251002,1755
UECL,269,101047,319,Dynamo Kyiv,TBD,TBD,IFK Göteborg,20251002,2000
UECL,269,1862,110374,FC Lausanne-Sport,TBD,TBD,Fiorentina,20251002,2000
UECL,269,254,71,SK Rapid,TBD,TBD,FC Nantes,20251023,1755
UECL,269,834,1799,Shelbourne FC,TBD,TBD,Crystal Palace,20251023,1755
UECL,269,114326,112513,RKS Raków Częstochowa,TBD,TBD,FC Arouca,20251023,1755
UECL,269,263,10032,HNK Hajduk Split,TBD,TBD,FC Lugano,20251023,1755
UECL,269,423,1862,St. Patrick's Athletic,TBD,TBD,FC Lausanne-Sport,20251023,1755
UECL,269,110374,101047,Fiorentina,TBD,TBD,Dynamo Kyiv,20251023,2000
UECL,269,711,324,BK Häcken,TBD,TBD,Servette FC,20251023,2000
UECL,269,327,670,Beşiktaş JK,TBD,TBD,Sporting Charleroi,20251023,1755
UECL,269,1908,306,FC Twente,TBD,TBD,Shamrock Rovers,20251023,2000
UECL,269,81,101059,Hibernian,TBD,TBD,Shakhtar Donetsk,20251023,1755
UECL,269,1443,1906,Viborg FF,TBD,TBD,AZ,20251023,2000
UECL,269,319,1871,IFK Göteborg,TBD,TBD,Legia Warszawa,20251023,2000
UECL,269,110745,480,Jagiellonia Białystok,TBD,TBD,Rayo Vallecano,20251023,2000
UECL,269,77,76,Aberdeen,TBD,TBD,RC Strasbourg Alsace,20251023,1755
UECL,269,744,418,Rio Ave FC,TBD,TBD,Tromsø IL,20251023,2000
UECL,269,748,278,Samsunspor A.Ş,TBD,TBD,AEK Athens,20251023,2000
UECL,269,308,267,U Craiova 1948 Club Sportiv,TBD,TBD,AC Sparta Praha,20251023,2000
UECL,269,873,169,Lech Poznań,TBD,TBD,1. FSV Mainz 05,20251023,1755
UECL,269,77,319,Aberdeen,TBD,TBD,IFK Göteborg,20251106,1755
UECL,269,112513,711,FC Arouca,TBD,TBD,BK Häcken,20251106,2000
UECL,269,71,101047,FC Nantes,TBD,TBD,Dynamo Kyiv,20251106,2000
UECL,269,114326,254,RKS Raków Częstochowa,TBD,TBD,SK Rapid,20251106,2000
UECL,269,10032,670,FC Lugano,TBD,TBD,Sporting Charleroi,20251106,2000
UECL,269,110374,278,Fiorentina,TBD,TBD,AEK Athens,20251106,1755
UECL,269,418,480,Tromsø IL,TBD,TBD,Rayo Vallecano,20251106,2000
UECL,269,1908,748,FC Twente,TBD,TBD,Samsunspor A.Ş,20251106,1755
UECL,269,308,169,U Craiova 1948 Club Sportiv,TBD,TBD,1. FSV Mainz 05,20251106,2000
UECL,269,1443,744,Viborg FF,TBD,TBD,Rio Ave FC,20251106,1755
UECL,269,327,324,Beşiktaş JK,TBD,TBD,Servette FC,20251106,1755
UECL,269,110745,423,Jagiellonia Białystok,TBD,TBD,St. Patrick's Athletic,20251106,1755
UECL,269,1871,267,Legia Warszawa,TBD,TBD,AC Sparta Praha,20251106,1755
UECL,269,873,1862,Lech Poznań,TBD,TBD,FC Lausanne-Sport,20251106,2000
UECL,269,76,1799,RC Strasbourg Alsace,TBD,TBD,Crystal Palace,20251106,1755
UECL,269,81,263,Hibernian,TBD,TBD,HNK Hajduk Split,20251106,2000
UECL,269,1906,834,AZ,TBD,TBD,Shelbourne FC,20251106,2000
UECL,269,306,101059,Shamrock Rovers,TBD,TBD,Shakhtar Donetsk,20251106,1755
UECL,269,169,110374,1. FSV Mainz 05,TBD,TBD,Fiorentina,20251127,2000
UECL,269,834,1443,Shelbourne FC,TBD,TBD,Viborg FF,20251127,1755
UECL,269,480,873,Rayo Vallecano,TBD,TBD,Lech Poznań,20251127,1755
UECL,269,263,327,HNK Hajduk Split,TBD,TBD,Beşiktaş JK,20251127,1755
UECL,269,267,114326,AC Sparta Praha,TBD,TBD,RKS Raków Częstochowa,20251127,2000
UECL,269,744,110745,Rio Ave FC,TBD,TBD,Jagiellonia Białystok,20251127,1755
UECL,269,278,306,AEK Athens,TBD,TBD,Shamrock Rovers,20251127,2000
UECL,269,1862,71,FC Lausanne-Sport,TBD,TBD,FC Nantes,20251127,1755
UECL,269,324,77,Servette FC,TBD,TBD,Aberdeen,20251127,2000
UECL,269,101059,1908,Shakhtar Donetsk,TBD,TBD,FC Twente,20251127,2000
UECL,269,1799,1906,Crystal Palace,TBD,TBD,AZ,20251127,1755
UECL,269,319,10032,IFK Göteborg,TBD,TBD,FC Lugano,20251127,2000
UECL,269,711,76,BK Häcken,TBD,TBD,RC Strasbourg Alsace,20251127,1755
UECL,269,423,418,St. Patrick's Athletic,TBD,TBD,Tromsø IL,20251127,2000
UECL,269,670,1871,Sporting Charleroi,TBD,TBD,Legia Warszawa,20251127,2000
UECL,269,101047,112513,Dynamo Kyiv,TBD,TBD,FC Arouca,20251127,1755
UECL,269,748,81,Samsunspor A.Ş,TBD,TBD,Hibernian,20251127,2000
UECL,269,254,308,SK Rapid,TBD,TBD,U Craiova 1948 Club Sportiv,20251127,1755
UECL,269,169,112513,1. FSV Mainz 05,TBD,TBD,FC Arouca,20251211,1755
UECL,269,1906,418,AZ,TBD,TBD,Tromsø IL,20251211,1755
UECL,269,327,267,Beşiktaş JK,TBD,TBD,AC Sparta Praha,20251211,2000
UECL,269,744,834,Rio Ave FC,TBD,TBD,Shelbourne FC,20251211,2000
UECL,269,1799,324,Crystal Palace,TBD,TBD,Servette FC,20251211,1755
UECL,269,254,110374,SK Rapid,TBD,TBD,Fiorentina,20251211,2000
UECL,269,81,1862,Hibernian,TBD,TBD,FC Lausanne-Sport,20251211,1755
UECL,269,76,110745,RC Strasbourg Alsace,TBD,TBD,Jagiellonia Białystok,20251211,2000
UECL,269,263,873,HNK Hajduk Split,TBD,TBD,Lech Poznań,20251211,1755
UECL,269,748,101047,Samsunspor A.Ş,TBD,TBD,Dynamo Kyiv,20251211,1755
UECL,269,306,670,Shamrock Rovers,TBD,TBD,Sporting Charleroi,20251211,1755
UECL,269,10032,114326,FC Lugano,TBD,TBD,RKS Raków Częstochowa,20251211,1755
UECL,269,1443,71,Viborg FF,TBD,TBD,FC Nantes,20251211,2000
