competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
UEFA Champions League,91,48,5,SSC Napoli,0,2,Chelsea,20250916,1755
UEFA Champions League,91,231,219,Club Brugge,2,2,Olympique de Marseille,20250917,2000
UEFA Champions League,91,1824,18,Eintracht Frankfurt,2,2,Tottenham Hotspur,20250917,1755
UEFA Champions League,91,234,243,SL Benfica,2,2,Real Madrid,20250916,2000
UEFA Champions League,91,2014,115845,Royale Union Saint-Gilloise,1,2,Atalanta,20250916,2000
UEFA Champions League,91,247,21,PSV,0,2,FC Bayern München,20250916,2000
UEFA Champions League,91,22,131682,Borussia Dortmund,3,2,Inter Milan,20250917,2000
UEFA Champions League,91,32,483,Bayer 04 Leverkusen,0,1,Villarreal CF,20250917,2000
UEFA Champions League,91,73,13,Paris Saint-Germain,2,3,Newcastle United,20250916,2000
UEFA Champions League,91,240,918,Atlético de Madrid,2,1,FK Bodø/Glimt,20250917,2000
UEFA Champions League,91,448,237,Athletic Club,0,0,Sporting CP,20250917,2000
UEFA Champions League,91,100805,266,St. Mirren,1,4,SK Slavia Praha,20250916,2000
UEFA Champions League,91,69,45,AS Monaco,0,3,Juventus,20250917,2000
UEFA Champions League,91,1,920,Arsenal,1,2,Vålerenga Fotball,20250917,2000
UEFA Champions League,91,10,325,Manchester City,3,1,Galatasaray SK,20250916,2000
UEFA Champions League,91,9,113888,Liverpool,1,1,Qarabağ FK,20250916,2000
UEFA Champions League,91,245,280,Ajax,0,2,Olympiacos FC,20250917,2000
UEFA Champions League,91,241,819,FC Barcelona,1,1,F.C. København,20250916,2000
UEFA Champions League,91,325,240,Galatasaray SK,TBD,TBD,Atlético de Madrid,20250930,2000
UEFA Champions League,91,266,241,SK Slavia Praha,TBD,TBD,FC Barcelona,20250930,1755
UEFA Champions League,91,131682,1,Inter Milan,TBD,TBD,Arsenal,20251001,2000
UEFA Champions League,91,483,245,Villarreal CF,TBD,TBD,Ajax,20251001,1755
UEFA Champions League,91,113888,1824,Qarabağ FK,TBD,TBD,Eintracht Frankfurt,20250930,2000
UEFA Champions League,91,115845,448,Atalanta,TBD,TBD,Athletic Club,20250930,2000
UEFA Champions League,91,18,22,Tottenham Hotspur,TBD,TBD,Borussia Dortmund,20251001,2000
UEFA Champions League,91,5,100805,Chelsea,TBD,TBD,St. Mirren,20250930,2000
UEFA Champions League,91,21,2014,FC Bayern München,TBD,TBD,Royale Union Saint-Gilloise,20250930,2000
UEFA Champions League,91,237,73,Sporting CP,TBD,TBD,Paris Saint-Germain,20251001,2000
UEFA Champions League,91,45,234,Juventus,TBD,TBD,SL Benfica,20250930,2000
UEFA Champions League,91,243,69,Real Madrid,TBD,TBD,AS Monaco,20251001,2000
UEFA Champions League,91,280,32,Olympiacos FC,TBD,TBD,Bayer 04 Leverkusen,20251001,2000
UEFA Champions League,91,13,247,Newcastle United,TBD,TBD,PSV,20250930,2000
UEFA Champions League,91,219,9,Olympique de Marseille,TBD,TBD,Liverpool,20250930,2000
UEFA Champions League,91,819,48,F.C. København,TBD,TBD,SSC Napoli,20251001,2000
UEFA Champions League,91,918,10,FK Bodø/Glimt,TBD,TBD,Manchester City,20251001,2000
UEFA Champions League,91,920,231,Vålerenga Fotball,TBD,TBD,Club Brugge,20251001,2000
UEFA Champions League,91,234,48,SL Benfica,TBD,TBD,SSC Napoli,20251021,1755
UEFA Champions League,91,2014,219,Royale Union Saint-Gilloise,TBD,TBD,Olympique de Marseille,20251022,2000
UEFA Champions League,91,18,266,Tottenham Hotspur,TBD,TBD,SK Slavia Praha,20251022,1755
UEFA Champions League,91,243,10,Real Madrid,TBD,TBD,Manchester City,20251021,2000
