competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
UEFA Europa League,190,1516,211,FC Midtjylland,2,1,GNK Dinamo Zagreb,20250925,2000
UEFA Europa League,190,1884,52,Panathinaikos FC,1,2,AS Roma,20250924,2000
UEFA Europa League,190,896,110468,FC Basel 1893,2,0,FC Viktoria Plzeň,20250925,2000
UEFA Europa League,190,673,320,KRC Genk,0,3,Malmö FF,20250925,1755
UEFA Europa League,190,36,900,VfB Stuttgart,3,0,BSC Young Boys,20250924,1755
UEFA Europa League,190,100632,1896,Go Ahead Eagles,2,2,SC Braga,20250925,1755
UEFA Europa League,190,236,86,FC Porto,1,1,Rangers,20250925,2000
UEFA Europa League,190,209,919,SK Sturm Graz,3,2,SK Brann,20250924,1755
UEFA Europa League,190,66,393,Olympique Lyonnais,1,1,PAOK FC,20250924,2000
UEFA Europa League,190,100761,326,FC FCSB,2,1,Fenerbahçe SK,20250925,1755
UEFA Europa League,190,110075,450,FCV Farul Constanța,1,2,Real Club Celta de Vigo,20250925,1755
UEFA Europa League,190,14,1874,Nottingham Forest,2,1,Ferencvárosi TC,20250924,2000
UEFA Europa League,190,78,1903,Celtic,3,1,FC Utrecht,20250925,2000
UEFA Europa League,190,114385,189,CFR 1907 Cluj,1,0,Bologna,20250924,2000
UEFA Europa League,190,449,246,Real Betis Balompié,0,2,Feyenoord,20250924,1755
UEFA Europa League,190,252,72,LASK,0,3,OGC Nice,20250924,1755
UEFA Europa League,190,65,25,LOSC Lille,1,2,Sport-Club Freiburg,20250924,2000
UEFA Europa League,190,2,191,Aston Villa,3,2,FC Red Bull Salzburg,20250925,2000
UEFA Europa League,190,52,36,AS Roma,TBD,TBD,VfB Stuttgart,20251002,1755
UEFA Europa League,190,1903,673,FC Utrecht,TBD,TBD,KRC Genk,20251002,1755
UEFA Europa League,190,191,896,FC Red Bull Salzburg,TBD,TBD,FC Basel 1893,20251002,1755
UEFA Europa League,190,1874,1884,Ferencvárosi TC,TBD,TBD,Panathinaikos FC,20251002,1755
UEFA Europa League,190,211,100761,GNK Dinamo Zagreb,TBD,TBD,FC FCSB,20251002,1755
UEFA Europa League,190,72,100632,OGC Nice,TBD,TBD,Go Ahead Eagles,20251002,1755
UEFA Europa League,190,919,1516,SK Brann,TBD,TBD,FC Midtjylland,20251002,2000
UEFA Europa League,190,25,114385,Sport-Club Freiburg,TBD,TBD,CFR 1907 Cluj,20251002,2000
UEFA Europa League,190,86,252,Rangers,TBD,TBD,LASK,20251002,1755
UEFA Europa League,190,393,449,PAOK FC,TBD,TBD,Real Betis Balompié,20251002,2000
UEFA Europa League,190,320,110075,Malmö FF,TBD,TBD,FCV Farul Constanța,20251002,2000
UEFA Europa League,190,450,65,Real Club Celta de Vigo,TBD,TBD,LOSC Lille,20251002,1755
UEFA Europa League,190,1896,14,SC Braga,TBD,TBD,Nottingham Forest,20251002,1755
UEFA Europa League,190,246,209,Feyenoord,TBD,TBD,SK Sturm Graz,20251002,2000
UEFA Europa League,190,326,2,Fenerbahçe SK,TBD,TBD,Aston Villa,20251002,2000
UEFA Europa League,190,110468,236,FC Viktoria Plzeň,TBD,TBD,FC Porto,20251002,2000
UEFA Europa League,190,900,66,BSC Young Boys,TBD,TBD,Olympique Lyonnais,20251002,2000
UEFA Europa League,190,189,78,Bologna,TBD,TBD,Celtic,20251002,2000
UEFA Europa League,190,78,52,Celtic,TBD,TBD,AS Roma,20251023,1755
UEFA Europa League,190,1516,673,FC Midtjylland,TBD,TBD,KRC Genk,20251023,2000
UEFA Europa League,190,209,110075,SK Sturm Graz,TBD,TBD,FCV Farul Constanța,20251023,2000
UEFA Europa League,190,36,114385,VfB Stuttgart,TBD,TBD,CFR 1907 Cluj,20251023,2000
UEFA Europa League,190,236,320,FC Porto,TBD,TBD,Malmö FF,20251023,1755
UEFA Europa League,190,896,2,FC Basel 1893,TBD,TBD,Aston Villa,20251023,1755
UEFA Europa League,190,100761,246,FC FCSB,TBD,TBD,Feyenoord,20251023,1755
UEFA Europa League,190,66,100632,Olympique Lyonnais,TBD,TBD,Go Ahead Eagles,20251023,1755
UEFA Europa League,190,1884,110468,Panathinaikos FC,TBD,TBD,FC Viktoria Plzeň,20251023,1755
UEFA Europa League,190,450,189,Real Club Celta de Vigo,TBD,TBD,Bologna,20251023,1755
UEFA Europa League,190,252,393,LASK,TBD,TBD,PAOK FC,20251023,2000
UEFA Europa League,190,72,1896,OGC Nice,TBD,TBD,SC Braga,20251023,2000
UEFA Europa League,190,211,449,GNK Dinamo Zagreb,TBD,TBD,Real Betis Balompié,20251023,2000
UEFA Europa League,190,1874,86,Ferencvárosi TC,TBD,TBD,Rangers,20251023,2000
UEFA Europa League,190,1903,14,FC Utrecht,TBD,TBD,Nottingham Forest,20251023,2000
UEFA Europa League,190,25,191,Sport-Club Freiburg,TBD,TBD,FC Red Bull Salzburg,20251023,1755
UEFA Europa League,190,900,65,BSC Young Boys,TBD,TBD,LOSC Lille,20251023,2000
UEFA Europa League,190,919,326,SK Brann,TBD,TBD,Fenerbahçe SK,20251023,1755
UEFA Europa League,190,52,1516,AS Roma,TBD,TBD,FC Midtjylland,20251106,2000
UEFA Europa League,190,449,1903,Real Betis Balompié,TBD,TBD,FC Utrecht,20251106,1755
UEFA Europa League,190,86,1896,Rangers,TBD,TBD,SC Braga,20251106,1755
UEFA Europa League,190,1884,209,Panathinaikos FC,TBD,TBD,SK Sturm Graz,20251106,1755
UEFA Europa League,190,14,320,Nottingham Forest,TBD,TBD,Malmö FF,20251106,1755
UEFA Europa League,190,2,900,Aston Villa,TBD,TBD,BSC Young Boys,20251106,2000
