competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
UWCL,343,116005,131360,FC Carl Zeiss Jena,TBD,TBD,SK Slavia Praha,20251007,2000
UWCL,343,131362,116280,FC Rosengård,TBD,TBD,Juventus,20251008,2000
UWCL,343,116012,132589,Manchester United,TBD,TBD,1. FC Union Berlin,20251008,2000
UWCL,343,116336,131363,Real Sociedad,TBD,TBD,Glasgow City FC,20251007,1745
UWCL,343,131359,116326,Ajax,TBD,TBD,Real Madrid,20251008,1745
UWCL,343,116325,131361,FC Barcelona,TBD,TBD,FC Zürich,20251007,2000
UWCL,343,116010,116009,Chelsea,TBD,TBD,Arsenal,20251008,1745
UWCL,343,116033,116034,OL Lyonnes,TBD,TBD,Paris Saint-Germain,20251007,1745
UWCL,343,115995,116035,FC Bayern München,TBD,TBD,Paris FC,20251008,2000
UWCL,343,116035,132589,Paris FC,TBD,TBD,1. FC Union Berlin,20251016,2000
UWCL,343,116009,131363,Arsenal,TBD,TBD,Glasgow City FC,20251015,1745
UWCL,343,116280,116012,Juventus,TBD,TBD,Manchester United,20251016,2000
UWCL,343,116033,116005,OL Lyonnes,TBD,TBD,FC Carl Zeiss Jena,20251015,2000
UWCL,343,116326,131360,Real Madrid,TBD,TBD,SK Slavia Praha,20251015,2000
UWCL,343,116325,115995,FC Barcelona,TBD,TBD,FC Bayern München,20251016,1745
UWCL,343,131359,116010,Ajax,TBD,TBD,Chelsea,20251016,2000
UWCL,343,131362,131361,FC Rosengård,TBD,TBD,FC Zürich,20251016,1745
UWCL,343,116336,116034,Real Sociedad,TBD,TBD,Paris Saint-Germain,20251015,2000
UWCL,343,116035,131359,Paris FC,TBD,TBD,Ajax,20251111,2000
UWCL,343,116010,131360,Chelsea,TBD,TBD,SK Slavia Praha,20251112,2000
UWCL,343,116326,115995,Real Madrid,TBD,TBD,FC Bayern München,20251112,2000
UWCL,343,116005,116336,FC Carl Zeiss Jena,TBD,TBD,Real Sociedad,20251111,2000
UWCL,343,116009,116033,Arsenal,TBD,TBD,OL Lyonnes,20251111,1745
UWCL,343,131361,116012,FC Zürich,TBD,TBD,Manchester United,20251112,1745
UWCL,343,131362,116325,FC Rosengård,TBD,TBD,FC Barcelona,20251112,2000
UWCL,343,132589,116280,1. FC Union Berlin,TBD,TBD,Juventus,20251111,1745
UWCL,343,131363,116034,Glasgow City FC,TBD,TBD,Paris Saint-Germain,20251111,2000
UWCL,343,131359,131362,Ajax,TBD,TBD,FC Rosengård,20251120,2000
UWCL,343,116009,116336,Arsenal,TBD,TBD,Real Sociedad,20251119,2000
UWCL,343,116010,116326,Chelsea,TBD,TBD,Real Madrid,20251120,2000
UWCL,343,116325,116280,FC Barcelona,TBD,TBD,Juventus,20251119,2000
UWCL,343,131363,116033,Glasgow City FC,TBD,TBD,OL Lyonnes,20251119,1745
UWCL,343,115995,116012,FC Bayern München,TBD,TBD,Manchester United,20251120,1745
UWCL,343,131361,132589,FC Zürich,TBD,TBD,1. FC Union Berlin,20251120,2000
UWCL,343,131360,116035,SK Slavia Praha,TBD,TBD,Paris FC,20251119,2000
UWCL,343,116034,116005,Paris Saint-Germain,TBD,TBD,FC Carl Zeiss Jena,20251120,1745
UWCL,343,131363,116005,Glasgow City FC,TBD,TBD,FC Carl Zeiss Jena,20251209,2000
UWCL,343,116034,116009,Paris Saint-Germain,TBD,TBD,Arsenal,20251209,1745
UWCL,343,116280,116035,Juventus,TBD,TBD,Paris FC,20251210,2000
UWCL,343,131361,131359,FC Zürich,TBD,TBD,Ajax,20251209,2000
UWCL,343,116012,131362,Manchester United,TBD,TBD,FC Rosengård,20251210,1745
UWCL,343,132589,116325,1. FC Union Berlin,TBD,TBD,FC Barcelona,20251210,1745
