competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Vertu Trophy,704,1928,112764,Port Vale,2,2,Bromley Football Club,20250902,1845
Vertu Trophy,704,1936,112260,Cheltenham Town,0,1,Fleetwood Town,20250902,1845
Vertu Trophy,704,1803,1962,Walsall,2,3,Bristol Rovers,20250903,1845
Vertu Trophy,704,1940,1924,Mansfield Town,2,1,Chesterfield,20250902,1845
Vertu Trophy,704,1802,15048,Gillingham,1,1,Tranmere Rovers,20250902,1845
Vertu Trophy,704,1804,1920,Bradford City,1,0,Oldham Athletic,20250903,1845
Vertu Trophy,704,112254,113926,Newport County,1,1,Salford City,20250902,1845
Vertu Trophy,704,1923,1797,Luton Town,2,1,Rotherham United,20250902,1845
Vertu Trophy,704,1935,110313,Colchester United,1,1,Accrington Stanley,20250903,1845
Vertu Trophy,704,1937,361,Notts County,1,2,Stevenage,20250902,1845
Vertu Trophy,704,121,110890,Crewe Alexandra,0,3,Crawley Town,20250903,1845
Vertu Trophy,704,142,92,Doncaster Rovers,1,1,Grimsby Town,20250903,1845
Vertu Trophy,704,15015,1932,Burton Albion,0,1,Barnsley,20250902,1845
Vertu Trophy,704,1934,1793,Swindon Town,2,3,Reading,20250903,1845
Vertu Trophy,704,127,4,Shrewsbury,1,2,Bolton Wanderers,20250903,1845
Vertu Trophy,704,1931,1798,Stockport County,1,2,Milton Keynes Dons,20250903,1845
Vertu Trophy,704,112764,1926,Bromley Football Club,TBD,TBD,Blackpool,20251008,1845
Vertu Trophy,704,112260,1958,Fleetwood Town,TBD,TBD,Leyton Orient,20251007,1845
Vertu Trophy,704,1962,1930,Bristol Rovers,TBD,TBD,Northampton Town,20251008,1845
Vertu Trophy,704,1924,112259,Chesterfield,TBD,TBD,AFC Wimbledon,20251008,1845
Vertu Trophy,704,15048,381,Tranmere Rovers,TBD,TBD,Barrow,20251007,1845
Vertu Trophy,704,1920,149,Oldham Athletic,TBD,TBD,Lincoln City,20251007,1845
Vertu Trophy,704,113926,143,Salford City,TBD,TBD,Exeter City,20251008,1845
Vertu Trophy,704,1797,112222,Rotherham United,TBD,TBD,Harrogate Town,20251007,1845
Vertu Trophy,704,110313,1917,Accrington Stanley,TBD,TBD,Wigan Athletic,20251007,1845
Vertu Trophy,704,361,1929,Stevenage,TBD,TBD,Plymouth Argyle,20251008,1845
Vertu Trophy,704,110890,1961,Crawley Town,TBD,TBD,Cardiff City,20251007,1845
Vertu Trophy,704,92,1938,Grimsby Town,TBD,TBD,Peterborough United,20251007,1845
Vertu Trophy,704,1932,1939,Barnsley,TBD,TBD,Huddersfield Town,20251007,1845
Vertu Trophy,704,1793,135,Reading,TBD,TBD,Barnet,20251008,1845
Vertu Trophy,704,4,1933,Bolton Wanderers,TBD,TBD,Wycombe Wanderers,20251008,1845
Vertu Trophy,704,1798,1944,Milton Keynes Dons,TBD,TBD,Cambridge United,20251008,1845
Vertu Trophy,704,1926,1928,Blackpool,TBD,TBD,Port Vale,20251112,1845
Vertu Trophy,704,1958,1936,Leyton Orient,TBD,TBD,Cheltenham Town,20251112,1845
Vertu Trophy,704,1930,1803,Northampton Town,TBD,TBD,Walsall,20251112,1845
Vertu Trophy,704,112259,1940,AFC Wimbledon,TBD,TBD,Mansfield Town,20251111,1845
Vertu Trophy,704,381,1802,Barrow,TBD,TBD,Gillingham,20251111,1845
Vertu Trophy,704,149,1804,Lincoln City,TBD,TBD,Bradford City,20251112,1845
Vertu Trophy,704,143,112254,Exeter City,TBD,TBD,Newport County,20251112,1845
Vertu Trophy,704,112222,1923,Harrogate Town,TBD,TBD,Luton Town,20251112,1845
Vertu Trophy,704,1917,1935,Wigan Athletic,TBD,TBD,Colchester United,20251111,1845
Vertu Trophy,704,1929,1937,Plymouth Argyle,TBD,TBD,Notts County,20251111,1845
Vertu Trophy,704,1961,121,Cardiff City,TBD,TBD,Crewe Alexandra,20251111,1845
Vertu Trophy,704,1938,142,Peterborough United,TBD,TBD,Doncaster Rovers,20251111,1845
Vertu Trophy,704,1939,15015,Huddersfield Town,TBD,TBD,Burton Albion,20251112,1845
Vertu Trophy,704,135,1934,Barnet,TBD,TBD,Swindon Town,20251112,1845
Vertu Trophy,704,1933,127,Wycombe Wanderers,TBD,TBD,Shrewsbury,20251111,1845
Vertu Trophy,704,1944,1931,Cambridge United,TBD,TBD,Stockport County,20251111,1845
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251223,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251223,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20251209,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260107,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260107,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260106,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260106,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260107,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260106,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260107,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260106,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260211,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260211,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260210,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260325,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260325,1945
Vertu Trophy,704,-1,-1, ,TBD,TBD, ,20260412,1500
