position,playerid,playername,team,competition,appearances,AVG,MOTMs,goals,assists,yellow_cards,two_yellow,red_cards,saves,goals_conceded,cleansheets
LB,229348,Antonee Robinson,Fulham,Premier League,5,6.40,0,0,0,0,0,0,0,4,1
LB,229348,Antonee Robinson,Fulham,Carabao Cup,2,5.85,0,0,0,0,0,0,0,2,0
LM,262113,Nicola Zalewski,Atalanta,Serie A Enilive,5,6.06,0,1,0,0,0,0,0,5,0
LM,262113,Nicola Zalewski,Atalanta,UEFA Champions League,1,6.00,0,0,0,0,0,0,0,0,0
RB,262118,Tino Livramento,Newcastle United,Carabao Cup,1,5.80,0,0,0,0,0,0,0,1,0
RB,262118,Tino Livramento,Newcastle United,UEFA Champions League,1,6.00,0,0,0,0,0,0,0,1,0
RB,262118,Tino Livramento,Newcastle United,Premier League,6,6.17,0,0,0,0,0,0,0,5,1
GK,188400,Thomas Kaminski,Charlton Athletic,EFL Championship,7,6.49,0,0,0,0,0,0,0,8,1
GK,188400,Thomas Kaminski,Charlton Athletic,Carabao Cup,3,7.40,0,0,0,0,0,0,0,2,1
ST,204785,Mikaël Mandron,St. Mirren,UEFA Champions League,1,5.90,0,0,0,0,0,0,0,4,0
CB,212977,Niklas Stark,Havre AC,Ligue 1 McDonald's,5,5.90,0,0,0,1,0,0,0,3,0
ST,229367,Stephen Humphrys,Bradford City,Carabao Cup,1,6.80,0,1,0,0,0,0,0,2,0
ST,229367,Stephen Humphrys,Bradford City,Vertu Trophy,1,6.80,0,0,0,0,0,0,0,0,1
CB,245751,Hassan Tombakti,Al Hilal,Saudi Pro League,6,6.47,0,0,0,3,0,0,0,5,2
LB,262135,David Møller Wolfe,Wolverhampton Wanderers,Premier League,5,6.16,0,0,0,0,0,0,0,3,0
LB,262135,David Møller Wolfe,Wolverhampton Wanderers,Carabao Cup,2,6.00,0,0,0,0,0,0,0,1,0
CM,212990,Callum Camps,Stockport County,Carabao Cup,2,6.30,0,0,0,0,0,0,0,1,1
CM,262137,Habib Keïta,Kocaelispor,Trendyol Süper Lig,6,6.08,0,0,0,0,0,0,0,3,0
RM,73745,Fahad Al Zubaidi,Al Fateh,Saudi Pro League,5,6.22,0,0,1,0,0,0,0,5,0
ST,229375,Elijah Adebayo,Estoril Praia,Liga Portugal,4,6.75,0,0,1,0,0,0,0,7,0
CB,262140,Carlos Domínguez,Real Club Celta de Vigo,LALIGA EA SPORTS,5,6.30,0,0,0,0,0,0,0,3,0
CB,262140,Carlos Domínguez,Real Club Celta de Vigo,UEFA Europa League,1,6.20,0,0,0,0,0,0,0,1,0
LB,229378,Tayo Edun,Stockport County,Carabao Cup,2,6.50,0,0,0,0,0,0,0,1,1
LB,229378,Tayo Edun,Stockport County,Vertu Trophy,1,5.80,0,0,0,0,0,0,0,1,0
CM,245761,Albie Morgan,Blackpool,Carabao Cup,1,5.70,0,0,0,0,0,0,0,1,0
LM,245762,Ahmed Kutucu,Galatasaray SK,Trendyol Süper Lig,4,6.65,0,2,0,1,0,0,0,1,0
LM,270336,Max Dickov,Tranmere Rovers,Carabao Cup,1,6.20,0,0,0,0,0,0,0,1,0
ST,73754,Tyler Walton,Accrington Stanley,Carabao Cup,1,6.10,0,0,0,0,0,0,0,3,0
ST,73754,Tyler Walton,Accrington Stanley,Vertu Trophy,1,6.00,0,0,0,0,0,0,0,1,0
ST,245766,Yuki Ohashi,Blackburn Rovers,EFL Championship,6,6.27,0,1,1,0,0,0,0,13,0
CB,73759,Gabriel Otegbayo,Sheffield Wednesday,EFL Championship,6,5.90,0,0,0,0,0,0,0,6,0
CB,73759,Gabriel Otegbayo,Sheffield Wednesday,Carabao Cup,1,5.40,0,0,0,0,0,0,0,2,0
CDM,229391,Palhinha,Tottenham Hotspur,Carabao Cup,1,7.90,0,1,0,1,0,0,0,1,0
CDM,229391,Palhinha,Tottenham Hotspur,UEFA Super Cup,1,6.40,0,0,0,0,0,0,0,0,1
CDM,229391,Palhinha,Tottenham Hotspur,Premier League,6,6.17,0,0,0,0,0,0,0,5,0
CDM,229391,Palhinha,Tottenham Hotspur,UEFA Champions League,1,5.70,0,0,0,0,0,0,0,1,0
GK,229393,Sam Hornby,Walsall,Carabao Cup,2,7.95,2,0,0,0,0,0,0,0,2
