export_date,playerid,is_generated,firstname,lastname,commonname,display_name,jerseyname,birthdate,age,nationality,gender,preferredfoot,preferredposition1,preferredposition2,preferredposition3,preferredposition4,preferredposition5,preferredposition6,preferredposition7,role1,role2,role3,role4,role5,overallrating,potential,internationalrep,pacdiv,shohan,paskic,driref,defspe,phypos,gkdiving,gkhandling,gkkicking,gkpositioning,gkreflexes,crossing,finishing,headingaccuracy,shortpassing,volleys,defensiveawareness,standingtackle,slidingtackle,dribbling,curve,freekickaccuracy,longpassing,ballcontrol,shotpower,jumping,stamina,strength,longshots,acceleration,sprintspeed,agility,reactions,balance,aggression,composure,interceptions,positioning,vision,penalties,trait1,trait2,icontrait1,icontrait2,skillmoves,skillmoveslikelihood,weakfootabilitytypecode,height,weight,contractvaliduntil,playerjointeamdate,isretiring,teamid,teamname,jerseynumber,squad_position,leagueid,leaguename,league_level,form,injury,leagueappearances,leaguegoals,leaguegoalsprevmatch,leaguegoalsprevthreematches,yellows,reds,istopscorer,isamongtopscorers,isamongtopscorersinteam
28_09_2025,460013,1,,,,Asbjørn Jakobsen,,154164,20,13,0,1,7,-1,-1,-1,-1,-1,-1,47,10,0,0,0,82,90,1,0,0,0,0,0,0,12,4,16,18,13,83,64,73,81,56,77,71,71,84,81,62,76,82,73,71,85,77,53,83,78,83,75,74,84,83,83,71,79,58,71503872,0,67112960,0,4,3,4,178,75,2027,161697,0,1331,Denmark,23,7,78,Men's National,5,3,0,0,0,0,0,0,0,0,0,0
28_09_2025,460054,1,,,,Steven Rousset,,155862,16,18,0,1,3,7,-1,-1,-1,-1,-1,5,0,0,0,0,72,97,1,0,0,0,0,0,0,20,22,23,19,18,70,45,62,68,45,69,61,70,72,54,47,55,74,51,64,81,64,44,87,81,79,82,74,68,57,68,56,57,49,33570816,0,33554432,0,4,4,5,171,68,2028,161755,0,115486,*TeamName_Abbr15_115486,19,28,13,Premier League,1,0,0,0,0,0,0,0,0,0,0,0
28_09_2025,460012,1,,,,Marcel Bosman,,154634,19,34,0,2,5,7,-1,-1,-1,-1,-1,12,48,8,0,0,77,90,1,0,0,0,0,0,0,3,11,16,10,13,46,31,74,68,30,77,72,74,59,33,43,68,66,55,78,65,81,39,52,63,48,74,54,78,62,71,45,43,53,98304,0,0,0,3,3,4,181,75,2032,160967,0,115486,*TeamName_Abbr15_115486,20,29,13,Premier League,1,0,0,0,0,0,0,0,0,0,0,0
28_09_2025,460018,1,,,,Elvis Clemente,,155675,16,54,0,1,27,-1,-1,-1,-1,-1,-1,38,40,39,0,0,86,94,1,0,0,0,0,0,0,21,21,19,23,18,74,87,53,81,62,54,50,48,81,64,59,79,88,78,79,86,79,72,98,99,98,69,81,64,80,54,86,82,75,106954787,768,35651618,0,4,4,5,167,60,2030,161755,0,115486,*TeamName_Abbr15_115486,15,28,13,Premier League,1,0,0,0,0,0,0,0,0,0,0,0
28_09_2025,460033,1,,,,José Roberto Neves,,155676,16,54,0,2,27,-1,-1,-1,-1,-1,-1,39,38,0,0,0,77,96,1,0,0,0,0,0,0,23,18,22,19,20,66,67,55,85,59,45,47,42,78,58,55,63,78,64,63,74,65,66,89,98,98,66,80,53,57,47,72,76,57,305144000,0,0,0,2,0,5,175,65,2027,161755,0,112264,*TeamName_Abbr15_112264,99,29,2028,World League,7,0,0,0,0,0,0,0,0,0,0,0
28_09_2025,70004,0,,,,Senny Mayulu,,154713,19,18,0,2,14,25,10,-1,-1,-1,-1,18,43,0,0,0,76,86,1,75,72,73,78,58,58,5,10,10,6,6,63,74,52,78,59,47,69,45,78,75,54,74,82,80,61,75,49,69,76,74,76,73,70,58,78,70,80,76,56,16777216,0,0,0,2,2,5,183,69,2027,161164,0,73,Paris SG,24,28,16,Ligue 1 McDonald's,1,3,0,0,3,0,0,0,0,0,0,0
28_09_2025,70037,0,,,,Francis Onyeka,,155060,18,21,0,2,18,14,25,-1,-1,-1,-1,31,19,42,0,0,67,85,1,66,63,63,70,47,58,6,9,15,12,11,61,68,56,70,57,50,51,55,73,58,56,65,70,62,64,62,60,59,67,67,72,60,65,44,63,30,62,62,66,0,0,0,0,2,2,4,186,72,2027,161391,0,160,VfL Bochum 1848,21,18,20,Bundesliga 2,2,2,0,0,8,0,0,0,0,0,0,1
28_09_2025,70145,0,,,,Momoko Tanikawa,,154338,20,163,1,1,18,12,14,-1,-1,-1,-1,31,32,26,0,0,76,86,1,71,70,71,76,52,66,15,7,11,11,9,59,76,45,75,54,48,55,39,77,64,63,73,82,65,63,71,68,65,69,73,75,70,64,54,60,63,78,76,69,1048576,0,0,0,2,3,5,169,57,2029,161341,0,115995,FC Bayern München,18,28,2215,GPFBL,1,3,0,0,8,0,0,0,0,0,0,1
28_09_2025,70496,0,,,,Noah Adedeji-Sternberg,,154381,20,7,0,1,16,27,-1,-1,-1,-1,-1,27,29,39,0,0,70,85,1,88,66,62,72,24,53,14,13,12,13,7,55,69,38,66,64,20,28,17,77,72,65,53,71,68,64,53,62,62,87,89,80,67,64,29,59,22,66,66,58,128,0,0,0,2,3,3,183,68,2030,161178,0,673,KRC Genk,32,16,4,1A Pro League,1,3,0,0,1,0,0,0,0,0,0,0
28_09_2025,70497,0,,,,Konstantinos Karetsas,,155264,17,22,0,2,18,23,14,-1,-1,-1,-1,31,33,36,0,0,75,86,1,76,69,74,80,24,49,11,12,11,6,9,69,70,26,76,62,18,32,23,80,80,70,74,80,71,53,66,49,76,86,70,89,58,89,28,71,21,63,75,57,5242880,0,0,0,2,3,4,171,62,2029,161178,0,673,KRC Genk,20,18,4,1A Pro League,1,5,0,0,0,0,0,0,0,0,0,0
